map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  Cell 69555 (115, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1771.406738, up = 1786.206787, down = 10000000000.000000

Cycle 45: curT = 3355.612549, curPe = 3, nc = 536, nwv = 21
  Cell 69243 (113, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1836.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68934 (114, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1995.843384, up = 10000000000.000000, down = 1836.206787
  Cell 69554 (114, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1931.091797, up = 1836.206787, down = 10000000000.000000

Cycle 46: curT = 3355.612549, curPe = 3, nc = 539, nwv = 21
  Cell 69242 (112, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1886.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68933 (113, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2045.842529, up = 10000000000.000000, down = 1886.206787
  Cell 69553 (113, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2029.035400, up = 1886.206787, down = 10000000000.000000

Cycle 47: curT = 3355.612549, curPe = 3, nc = 542, nwv = 21
  Cell 69241 (111, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1936.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68932 (112, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2095.842285, up = 10000000000.000000, down = 1936.206787
  Cell 69552 (112, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2092.338379, up = 1936.206787, down = 10000000000.000000

Cycle 48: curT = 3355.612549, curPe = 3, nc = 545, nwv = 21
  Cell 69240 (110, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1986.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68931 (111, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2145.842285, up = 10000000000.000000, down = 1986.206787
  Cell 69551 (111, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1986.206787, up = 1986.206787, down = 10000000000.000000

Cycle 49: curT = 3355.612549, curPe = 4, nc = 548, nwv = 21
  Cell 69239 (109, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2036.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68930 (110, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2195.842285, up = 10000000000.000000, down = 2036.206787
  Cell 69550 (110, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2021.406738, up = 2036.206787, down = 10000000000.000000
  Cell 69861 (111, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2021.406738, down = 10000000000.000000

Cycle 50: curT = 3355.612549, curPe = 4, nc = 552, nwv = 21
  Cell 69238 (108, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2086.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68929 (109, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2245.842285, up = 10000000000.000000, down = 2086.206787
  Cell 69549 (109, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2063.453125, up = 2086.206787, down = 10000000000.000000
  Cell 69860 (110, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2261.406738, up = 2063.453125, down = 10000000000.000000

Cycle 51: curT = 3355.612549, curPe = 4, nc = 556, nwv = 21
  Cell 69237 (107, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2136.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68928 (108, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2295.842285, up = 10000000000.000000, down = 2136.206787
  Cell 69548 (108, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2108.345947, up = 2136.206787, down = 10000000000.000000
  Cell 69859 (109, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2278.827637, up = 2108.345947, down = 10000000000.000000

Cycle 52: curT = 3355.612549, curPe = 4, nc = 560, nwv = 21
  Cell 69236 (106, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2186.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68927 (107, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2345.842285, up = 10000000000.000000, down = 2186.206787
  Cell 69547 (107, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2154.759521, up = 2186.206787, down = 10000000000.000000
  Cell 69858 (108, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2319.923340, up = 2154.759521, down = 10000000000.000000

Cycle 53: curT = 3355.612549, curPe = 4, nc = 564, nwv = 21
  Cell 69235 (105, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2236.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68926 (106, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2395.842285, up = 10000000000.000000, down = 2236.206787
  Cell 69546 (106, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2202.097412, up = 2236.206787, down = 10000000000.000000
  Cell 69857 (107, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2365.416260, up = 2202.097412, down = 10000000000.000000

Cycle 54: curT = 3355.612549, curPe = 4, nc = 568, nwv = 21
  Cell 69234 (104, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2286.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68925 (105, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2445.842285, up = 10000000000.000000, down = 2286.206787
  Cell 69545 (105, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2250.045166, up = 2286.206787, down = 10000000000.000000
  Cell 69856 (106, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2252.097412, up = 2250.045166, down = 10000000000.000000

Cycle 55: curT = 3355.612549, curPe = 5, nc = 572, nwv = 21
  Cell 69233 (103, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2336.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68924 (104, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2495.842285, up = 10000000000.000000, down = 2336.206787
  Cell 69544 (104, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2298.418213, up = 2336.206787, down = 10000000000.000000
  Cell 69855 (105, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2286.314941, up = 2298.418213, down = 10000000000.000000
  Cell 70166 (106, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2286.314941, down = 10000000000.000000

Cycle 56: curT = 3355.612549, curPe = 5, nc = 577, nwv = 21
  Cell 69232 (102, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2386.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68923 (103, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2545.842285, up = 10000000000.000000, down = 2386.206787
  Cell 69543 (103, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2347.101074, up = 2386.206787, down = 10000000000.000000
  Cell 69854 (104, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2327.263916, up = 2347.101074, down = 10000000000.000000
  Cell 70165 (105, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2526.314941, up = 2327.263916, down = 10000000000.000000

Cycle 57: curT = 3355.612549, curPe = 5, nc = 582, nwv = 21
  Cell 69231 (101, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2436.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68922 (102, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2595.842285, up = 10000000000.000000, down = 2436.206787
  Cell 69542 (102, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2396.016846, up = 2436.206787, down = 10000000000.000000
  Cell 69853 (103, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2371.180664, up = 2396.016846, down = 10000000000.000000
  Cell 70164 (104, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2542.756592, up = 2371.180664, down = 10000000000.000000

Cycle 58: curT = 3355.612549, curPe = 2, nc = 587, nwv = 21
  Cell 69852 (102, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2416.722656, up = 2445.112305, down = 10000000000.000000
  Cell 70163 (103, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2421.180664, up = 2416.722656, down = 10000000000.000000

Cycle 59: curT = 3355.612549, curPe = 3, nc = 589, nwv = 21
  Cell 69851 (101, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2463.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 70162 (102, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2454.197021, up = 2463.280029, down = 10000000000.000000
  Cell 70473 (103, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2454.197021, down = 10000000000.000000

Cycle 60: curT = 3355.612549, curPe = 3, nc = 592, nwv = 21
  Cell 69850 (100, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2513.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 70161 (101, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2493.837646, up = 2513.280029, down = 10000000000.000000
  Cell 70472 (102, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2504.197021, up = 2493.837646, down = 10000000000.000000

Cycle 61: curT = 3355.612549, curPe = 4, nc = 595, nwv = 21
  Cell 69849 (99, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2563.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69540 (100, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 2563.280029
  Cell 70160 (100, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2537.616211, up = 2563.280029, down = 10000000000.000000
  Cell 70471 (101, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2534.041504, up = 2537.616211, down = 10000000000.000000

Cycle 62: curT = 3355.612549, curPe = 4, nc = 599, nwv = 21
  Cell 69848 (98, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2613.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69539 (99, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2613.280029, up = 10000000000.000000, down = 2613.280029
  Cell 70159 (99, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2583.405029, up = 2613.280029, down = 10000000000.000000
  Cell 70470 (100, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2571.079834, up = 2583.405029, down = 10000000000.000000

Cycle 63: curT = 3355.612549, curPe = 2, nc = 603, nwv = 21
  Cell 70469 (99, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2612.121826, up = 2630.352295, down = 10000000000.000000
  Cell 70780 (100, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2612.121826, down = 10000000000.000000

Cycle 64: curT = 3355.612549, curPe = 2, nc = 605, nwv = 21
  Cell 70468 (98, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2655.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70779 (99, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 2662.121826, up = 2655.467285, down = 10000000000.000000

Cycle 65: curT = 3355.612549, curPe = 2, nc = 607, nwv = 21
  Cell 70467 (97, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2705.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70778 (98, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 2693.995117, up = 2705.467285, down = 10000000000.000000

Cycle 66: curT = 3455.612549, curPe = 76, nc = 609, nwv = 21
  Cell 72692 (152, 234): pot = 10000000000.000000, left = 150.000000, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72381 (151, 233): pot = 10000000000.000000, left = 127.246338, right = 10000000000.000000, up = 10000000000.000000, down = 150.000000
  Cell 73001 (151, 235): pot = 10000000000.000000, left = 127.246338, right = 10000000000.000000, up = 150.000000, down = 10000000000.000000
  Cell 72071 (151, 232): pot = 10000000000.000000, left = 162.446335, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 71760 (150, 231): pot = 10000000000.000000, left = 172.139114, right = 10000000000.000000, up = 10000000000.000000, down = 162.446335
  Cell 73311 (151, 236): pot = 10000000000.000000, left = 162.446335, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 73620 (150, 237): pot = 10000000000.000000, left = 172.139114, right = 10000000000.000000, up = 162.446335, down = 10000000000.000000
  Cell 71450 (150, 230): pot = 10000000000.000000, left = 218.552673, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 71139 (149, 229): pot = 10000000000.000000, left = 250.000000, right = 10000000000.000000, up = 10000000000.000000, down = 218.552673
  Cell 73930 (150, 238): pot = 10000000000.000000, left = 218.552673, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 74239 (149, 239): pot = 10000000000.000000, left = 250.000000, right = 10000000000.000000, up = 218.552673, down = 10000000000.000000
  Cell 74548 (148, 240): pot = 10000000000.000000, left = 315.890686, right = 10000000000.000000, up = 250.000000, down = 10000000000.000000
  Cell 70829 (149, 228): pot = 10000000000.000000, left = 300.000000, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 70518 (148, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 300.000000
  Cell 70517 (147, 227): pot = 10000000000.000000, left = 384.711304, right = 10000000000.000000, up = 10000000000.000000, down = 313.838318
  Cell 74857 (147, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 315.890686, down = 10000000000.000000
  Cell 74856 (146, 241): pot = 10000000000.000000, left = 410.803497, right = 10000000000.000000, up = 335.316498, down = 10000000000.000000
  Cell 70206 (146, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 384.711304
  Cell 70205 (145, 226): pot = 10000000000.000000, left = 482.614594, right = 10000000000.000000, up = 10000000000.000000, down = 405.905884
  Cell 75165 (145, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 410.803497, down = 10000000000.000000
  Cell 75164 (144, 242): pot = 10000000000.000000, left = 513.636353, right = 10000000000.000000, up = 434.460205, down = 10000000000.000000
